id,label,definition,synonyms,xrefs
DOID:0001816,,A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.,"{'val': 'hemangiosarcoma', 'pred': 'EXACT', 'xrefs': []}","ICDO:9120/3, MESH:D006394, NCI:C3088, NCI:C9275, SNOMEDCT_US_2023_03_01:39000009, UMLS_CUI:C0018923, UMLS_CUI:C0854893"
DOID:0002116,,A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.,"{'val': ""surfer's eye"", 'pred': 'EXACT', 'xrefs': []}",UMLS_CUI:C0033999
DOID:0014667,,A disease that involves errors in metabolic processes of building or degradation of molecules.,"{'val': 'metabolic disease', 'pred': 'EXACT', 'xrefs': []}","ICD10CM:E88.9, ICD9CM:277.9, MESH:D008659, NCI:C3235, SNOMEDCT_US_2023_03_01:75934005, UMLS_CUI:C0025517"
DOID:0040001,,A crustacean allergy that has_allergic_trigger shrimp.,,
DOID:0040002,,A drug allergy that has_allergic_trigger acetylsalicylic acid.,"{'val': 'acetylsalicylic acid allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'ASA allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293586001, UMLS_CUI:C0004058"
DOID:0040003,,A beta-lactam allergy that has_allergic_trigger benzylpenicillin.,"{'val': 'benzyl penicillin allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'penicillin G allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294499007, UMLS_CUI:C0571411"
DOID:0040004,,A beta-lactam allergy that has_allergic_trigger amoxicillin.,,"SNOMEDCT_US_2023_03_01:294505008, UMLS_CUI:C0571417"
DOID:0040005,,A cephalosporin allergy that has_allergic_trigger ceftriaxone.,"{'val': 'rocephin allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:294551009, UMLS_CUI:C0571463"
DOID:0040006,,A drug allergy that has_allergic_trigger carbamazepine.,"{'val': 'carbamazepen allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Tegretol allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293867002, UMLS_CUI:C0570787"
DOID:0040007,,A drug allergy that has_allergic_trigger abacavir.,"{'val': 'ABC allergy', 'pred': 'EXACT', 'xrefs': []}",
DOID:0040008,,A drug allergy that has_allergic_trigger isoniazide.,"{'val': 'INH allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'isonicotinylhydrazide allergy', 'pred': 'EXACT', 'xrefs': []}",ICD10CM:Z88.1
DOID:0040009,,A drug allergy that has_allergic_trigger lidocaine.,"{'val': 'Lidoderm allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'lignocaine allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'xylocaine allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293722000, UMLS_CUI:C0570646"
DOID:0040010,,A drug allergy that has_allergic_trigger mepivacaine.,"{'val': 'Carbocaine allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'Polocaine allergy', 'pred': 'EXACT', 'xrefs': []}",ICD10CM:Z88.4
DOID:0040011,,A drug allergy that has_allergic_trigger phenobarbital.,"{'val': 'Luminal allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'phenobarbitol allergy', 'pred': 'EXACT', 'xrefs': []}, {'val': 'phenobarbitone allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293865005, UMLS_CUI:C0570785"
DOID:0040012,,A drug allergy that has_allergic_trigger phenytoin.,"{'val': 'Dilantin allergy', 'pred': 'EXACT', 'xrefs': []}","SNOMEDCT_US_2023_03_01:293869004, UMLS_CUI:C0570789"
